job_id,skill_abr
4401464202,DSGN
4401464202,ART
4401464202,IT
4398796723,SALE
4398796723,BD
4370611510,PRJM
4370919814,RSCH
4370919814,ANLS
4370919814,IT
4379633757,ENG
4379633757,IT
4308674854,IT
4289709620,EDU
4289709620,TRNG
4400100319,QA
4400100319,SUPL
4400100319,MNFC
4331192253,EDU
4331192253,TRNG
4380308288,MGMT
4380308288,MNFC
4371281657,OTHR
4401456493,EDU
4401456493,TRNG
4364382212,MGMT
4364382212,MNFC
4402504612,FIN
4402504612,PRDM
4401472122,CNSL
4401472122,MRKT
4401472122,RSCH
4378587959,QA
4378587959,PROD
4378587959,ENG
4279577369,MGMT
4279577369,MNFC
4370683669,ENG
4370683669,IT
4402508409,HR
4342589274,RSCH
4342589274,ANLS
4342589274,IT
4333725550,ENG
4333725550,IT
4401463425,SALE
4401463425,BD
4390102191,SALE
4390102191,BD
4401442778,SALE
4380738542,MGMT
4380738542,MNFC
4401459619,SALE
4401459619,BD
4336443278,MGMT
4336443278,MNFC
4402521210,ACCT
4402521210,FIN
4401461299,PRDM
4380360511,OTHR
4277663925,ACCT
4277663925,FIN
4370875584,MRKT
4370875584,PR
4370875584,WRT
4401447890,ENG
4401447890,IT
4401451117,ADM
4399981886,OTHR
4399981886,IT
4399981886,MGMT
4401461508,PRDM
4401461508,MRKT
4370645506,ENG
4370645506,IT
4379601745,PRJM
4379601745,CNSL
4379601745,ENG
4364261773,SALE
4364261773,BD
4401448581,MNFC
4371120241,PRJM
4371120241,IT
4402528599,OTHR
4402515913,MGMT
4402515913,MNFC
4348679839,MGMT
4348679839,MNFC
4370576052,ACCT
4370576052,FIN
4400572695,ACCT
4400572695,FIN
4400572695,CNSL
4401442450,DSGN
4401442450,ART
4401442450,IT
4370549738,MGMT
4370549738,MNFC
4362124095,IT
4380505740,MGMT
4380505740,MNFC
4397670912,BD
4397670912,SALE
4400100359,FIN
4400100359,SALE
4401460562,MGMT
4401460562,MNFC
4400363471,MGMT
4400363471,MNFC
4401450508,ADM
4399987451,SALE
4378189237,SALE
4378189237,BD
4378189237,DIST
4378907157,OTHR
4399990382,OTHR
4389686707,IT
4400352931,BD
4400352931,SALE
4401458426,EDU
4401458426,TRNG
4401451338,MRKT
4401451338,SALE
4305588322,OTHR
4370999214,OTHR
4389975722,ENG
4389975722,IT
4401448977,ENG
4401448977,IT
4370870630,MRKT
4370870630,PR
4370870630,WRT
4364213975,MGMT
4364213975,MNFC
4402519721,HCPR
4401444891,OTHR
4331307067,EDU
4331307067,TRNG
4370563475,ACCT
4370563475,FIN
4401453718,IT
4402507622,QA
4402507622,ANLS
4402507622,IT
4401449582,SALE
4401449582,BD
4401448902,SALE
4401448902,GENB
4401448902,CUST
4401457511,FIN
4401457511,SALE
4401457419,OTHR
4370871599,MRKT
4370871599,PR
4370871599,WRT
4402518706,MGMT
4402518706,MNFC
4389686981,SALE
4389686981,BD
4401452937,ADM
4402513235,ADM
4402538007,BD
4402538007,SALE
4401455449,HR
4401455449,ADM
4401455449,LGL
4402515810,MGMT
4402515810,MNFC
4399991401,OTHR
4402296976,IT
4390325937,QA
4379620051,OTHR
4275576816,PRJM
4275576816,IT
4059071384,MGMT
4059071384,MNFC
4325176775,HCPR
4389953823,OTHR
4399728098,ENG
4380323582,BD
4380323582,SALE
4402529343,MGMT
4402529343,MNFC
4370880579,EDU
4370880579,TRNG
4361286183,QA
4401430748,ENG
4401430748,IT
4342650356,SALE
4342650356,CNSL
4342650356,BD
4402531413,ART
4402531413,IT
4402531413,CNSL
4401168998,DSGN
4401168998,ART
4401168998,IT
4401770811,ENG
4401854560,IT
4399791083,SALE
4399791083,ADM
4399791083,MGMT
4399955737,DSGN
4399955737,ART
4399955737,MRKT
4402013509,HR
4401188631,OTHR
4402698926,IT
4402698926,ENG
4402010603,HR
4401425223,PRDM
4401425223,MRKT
4400196682,MRKT
4401858814,WRT
4401858814,PROD
4402204730,TRNG
4401855443,DSGN
4401855443,ART
4401855443,IT
4402242113,ANLS
4402242113,QA
4402242113,RSCH
4401874650,FIN
4401874650,BD
4401874650,SALE
4401472488,SALE
4401472488,BD
4402531557,TRNG
4402905103,IT
4402905103,ENG
4401158016,HR
4401158016,WRT
4402920601,RSCH
4402920601,WRT
4401769922,ENG
4401769922,CNSL
4401769922,IT
4401428299,IT
4401428299,ENG
4401769910,ENG
4401439314,DSGN
4401439314,ART
4401439314,IT
4401847810,MRKT
4401847810,BD
4401405538,OTHR
4402014923,CNSL
4385279640,IT
4402289318,OTHR
4399959420,PRDM
4401854037,SALE
4402503224,ENG
4402503224,PRDM
4401438250,SALE
4401438250,BD
4401438250,STRA
4402693931,IT
4376055778,ENG
4402918566,BD
4388984257,BD
4388984257,SALE
4389589991,FIN
4389589991,SALE
4401489055,OTHR
4402021508,CNSL
4402013482,CNSL
4402942911,CNSL
4402942911,PRJM
4402942911,BD
4351600769,MGMT
4351600769,MNFC
4401776582,TRNG
4401425512,PRDM
4401425512,MRKT
4402908973,BD
4401776609,ENG
4400184610,ANLS
4400184610,PRDM
4402697785,ENG
4402697785,CNSL
4402697785,IT
4390146754,OTHR
4401790061,ENG
4402227103,TRNG
4401858562,BD
4401858562,CNSL
4401858562,DIST
4401427282,DSGN
4401427282,ART
4401427282,IT
4402121160,MGMT
4402121160,MNFC
4402909619,RSCH
4402909619,WRT
4389810140,SALE
4389810140,BD
4402669916,ENG
4402669916,PRJM
4400164863,ENG
4401847742,ADVR
4401847742,ADM
4401846767,ENG
4401846767,IT
4402693947,IT
4402693947,ENG
4389803355,MRKT
4389803355,SALE
4401786179,ENG
4402525955,ENG
4402662986,IT
4402919951,ENG
4399913182,ENG
4399913182,IT
4402696952,IT
4402698919,IT
4402913105,IT
4401494930,IT
4401494930,CNSL
4401494930,OTHR
4402925913,ENG
4401188819,ENG
4401188819,IT
4401183701,DSGN
4401183701,ART
4401183701,IT
4402239052,ENG
4402239052,OTHR
4401856592,MRKT
4401856592,ADVR
4402934809,MRKT
4400403805,MRKT
4400403805,SALE
4402956019,RSCH
4402956019,FIN
4401872116,MRKT
4401872116,ADVR
4402900885,IT
4401814101,SALE
4401814101,OTHR
4402904150,IT
4402916581,RSCH
4402916581,WRT
4402912078,IT
4400374798,ART
4400374798,IT
4400374798,CNSL
4402504243,ENG
4390117987,LGL
4402641622,SUPL
4401860882,SALE
4401860882,DIST
4401846825,IT
4401846825,ENG
4402659654,ENG
4399945915,PRJM
4399945915,STRA
4401178279,OTHR
4310156440,ENG
4310156440,IT
4327942820,MGMT
4327942820,MNFC
4402972798,ENG
4390380282,SALE
4390380282,CUST
4400189514,MRKT
4400189514,PRJM
4402986003,ART
4402986003,IT
4402986003,CNSL
4364915104,OTHR
4400186579,FIN
4400186579,ACCT
4400186587,DSGN
4402994003,TRNG
4400415802,ANLS
4374297689,ENG
4374297689,IT
4400422743,PRDM
4191117617,ENG
4191117617,IT
4402150726,IT
4362103128,SALE
4362103128,MGMT
4390575109,OTHR
4390363821,OTHR
4391085217,QA
4402142995,ACCT
4402142995,FIN
4381154123,EDU
4381154123,TRNG
4378516062,QA
4378516062,PROD
4378516062,ENG
4371104461,FIN
4371104461,SALE
4402145749,PRJM
4370792002,CNSL
4402152348,SALE
4402152348,BD
4402141357,OTHR
4390834134,OTHR
4401788813,ADM
4400417982,ACCT
4400417982,FIN
4381419491,DSGN
4381419491,ART
4381419491,IT
4402149599,PRCH
4402149599,SUPL
4402148696,MGMT
4402148696,MNFC
4400428504,MRKT
4400428504,SALE
4380788046,ENG
4380788046,IT
4400439093,OTHR
4402139751,SALE
4371109994,SALE
4371109994,BD
4402151652,DSGN
4402151652,ART
4402151652,IT
4380010717,OTHR
4362124096,IT
4370699126,ENG
4370699126,IT
4400441379,MRKT
4400441379,SALE
4402150586,QA
4400435518,LGL
4370693410,ENG
4370693410,IT
4402973989,MGMT
4402973989,MNFC
4329751721,ENG
4329751721,IT
4390700285,EDU
4390700285,TRNG
4385053210,DIST
4385053210,SUPL
4385053210,CUST
4370960529,ENG
4370960529,IT
4402138327,ENG
4402138327,IT
4400446324,ENG
4400446324,IT
